,zip_cd,single_dose_administered,all_doses_administered,fully_vaccinated,booster_dose_administered,eligible_population,clusters_pca,clusters_label
445,47165,327,6897,2722,1244,5832,2,Medium
446,47166,45,1964,733,398,1515,0,Low
447,47167,732,18963,7297,3564,13975,2,Medium
448,47170,810,19420,7382,3781,14018,2,Medium
449,47172,1429,30795,11837,5907,16629,1,High
450,47175,46,1101,413,226,969,0,Low
451,47177,70,1652,633,323,1122,0,Low
452,47201,1571,79147,28858,15786,41822,1,High
453,47203,781,50048,17587,10805,25029,1,High
454,47220,431,7435,2934,1505,5397,0,Low
455,47223,39,1473,575,268,922,0,Low
456,47224,15,471,185,96,463,0,Low
457,47226,13,258,100,49,246,0,Low
458,47227,57,1598,612,290,2039,0,Low
459,47229,197,3664,1460,704,3091,0,Low
460,47230,107,2234,868,438,1408,0,Low
461,47231,44,1193,461,217,809,0,Low
462,47232,79,3561,1308,707,3129,0,Low
463,47234,46,1780,682,347,1402,0,Low
464,47235,76,2224,865,413,1465,0,Low
465,47240,775,28258,10614,5688,20442,1,High
466,47243,284,6851,2611,1360,5599,2,Medium
467,47244,15,925,343,195,688,0,Low
468,47246,110,6021,2196,1232,4382,0,Low
469,47247,9,200,79,36,179,0,Low
470,47250,1126,31947,11919,6528,20786,1,High
471,47260,104,1780,716,332,1593,0,Low
472,47263,5,192,79,27,250,0,Low
473,47264,78,1425,576,258,1165,0,Low
474,47265,723,23406,9039,4237,19040,1,High
475,47270,35,797,312,161,530,0,Low
476,47272,68,2314,894,440,2044,0,Low
477,47273,77,2252,873,417,1980,0,Low
478,47274,1584,43989,17151,8018,29114,1,High
479,47280,27,1166,430,228,905,0,Low
480,47281,80,1877,735,375,1161,0,Low
481,47282,11,520,186,103,282,0,Low
482,47283,121,4061,1538,784,3006,0,Low
483,47302,846,30839,11779,5803,24394,1,High
484,47303,624,28811,10978,5381,23887,1,High
485,47304,860,53507,19004,11432,30469,1,High
486,47305,157,4171,1597,775,3285,0,Low
487,47306,16,586,237,87,5096,2,Medium
488,47320,91,5809,2112,1205,3512,0,Low
489,47324,10,110,46,20,137,0,Low
490,47325,25,771,280,157,618,0,Low
491,47326,28,1231,453,249,1917,0,Low
492,47327,178,4943,1889,966,4241,0,Low
493,47330,215,7046,2684,1396,4880,0,Low
494,47331,601,24830,9410,4770,21192,1,High
495,47334,110,4497,1693,916,3061,0,Low
496,47335,29,768,304,135,670,0,Low
497,47336,85,4216,1560,852,3044,0,Low
498,47337,5,224,84,42,117,0,Low
499,47338,62,3139,1191,592,2596,0,Low
500,47339,22,766,295,146,493,0,Low
501,47340,70,3577,1326,719,2823,0,Low
502,47341,113,2395,955,444,2267,0,Low
503,47342,85,3423,1288,686,2484,0,Low
504,47344,4,102,42,13,108,0,Low
505,47345,55,1439,550,294,1360,0,Low
506,47346,149,4919,1848,971,3663,0,Low
507,47348,217,11650,4363,2327,8688,2,Medium
508,47351,16,533,209,97,482,0,Low
509,47352,22,1217,465,216,818,0,Low
510,47353,253,6696,2532,1346,5245,0,Low
511,47354,26,1357,491,282,1035,0,Low
512,47355,63,2794,1048,556,2620,0,Low
513,47356,200,7642,2890,1509,5037,2,Medium
514,47357,52,1337,511,265,787,0,Low
515,47358,18,1063,403,214,1003,0,Low
516,47359,54,2735,1049,534,2858,0,Low
517,47360,51,1877,717,378,1236,0,Low
518,47361,11,362,141,66,212,0,Low
519,47362,732,41516,15630,7961,28417,1,High
520,47367,2,89,33,17,57,0,Low
521,47368,65,3819,1381,784,2707,0,Low
522,47369,39,1075,413,203,1234,0,Low
523,47371,298,13395,4899,2716,11369,2,Medium
524,47373,52,2337,858,467,2256,0,Low
525,47374,1900,61373,22787,12288,42950,1,High
526,47380,38,1876,715,362,1446,0,Low
527,47381,6,87,35,16,114,0,Low
528,47382,9,183,70,35,227,0,Low
529,47383,75,3926,1458,808,3066,0,Low
530,47384,60,2392,934,449,1944,0,Low
531,47385,51,2021,778,381,1228,0,Low
532,47386,24,1583,582,322,1150,0,Low
533,47387,21,824,326,141,656,0,Low
534,47388,22,447,174,91,318,0,Low
535,47390,163,5364,1981,1047,4634,0,Low
536,47393,55,1519,582,296,1718,0,Low
537,47394,196,10508,3835,2118,7797,2,Medium
538,47396,243,12399,4560,2606,6486,2,Medium
539,47401,1969,88018,30489,19621,41533,1,High
540,47403,1507,55446,20429,11408,31270,1,High
541,47404,1104,37606,13839,7676,22756,1,High
542,47405,14,366,140,58,3697,2,Medium
543,47406,112,3728,1482,430,3945,2,Medium
544,47408,878,38285,13772,7745,24986,1,High
545,47420,10,231,86,45,439,0,Low
546,47421,1615,36876,14198,7182,26049,1,High
547,47424,417,12321,4671,2445,8564,2,Medium
548,47427,45,1001,386,196,662,0,Low
549,47429,339,13185,4887,2731,8776,2,Medium
550,47431,56,1609,602,326,1430,0,Low
551,47432,175,6216,2338,1239,4188,0,Low
552,47433,164,4616,1758,895,3922,0,Low
553,47434,0,0,0,0,0,0,Low
554,47436,111,1877,737,379,1367,0,Low
555,47437,6,62,23,12,155,0,Low
556,47438,125,5089,1955,939,4159,0,Low
557,47441,276,12488,4665,2450,8713,2,Medium
558,47443,24,1381,515,266,1215,0,Low
559,47446,493,11728,4493,2338,9687,2,Medium
560,47448,226,13746,4728,2980,7147,2,Medium
561,47449,20,657,243,138,372,0,Low
562,47451,69,1483,586,277,1034,0,Low
563,47452,195,5877,2263,1140,4876,0,Low
564,47453,19,533,201,108,671,0,Low
